year,country,Debt_to_GDP,Deficit_to_GDP,Debt_Growth,GDP,Debt,Deficit,cluster
1997,EE,6.834003118343325,2.1213518677119705,12.468377303939281,4553.7,311.2,96.6,0
1998,EE,5.965466206216083,-0.755796743956586,-2.859897172236492,5067.5,302.3,-38.3,0
1999,EE,6.43622038506353,-3.2994876916532583,15.117433013562675,5406.9,348.0,-178.4,0
2000,EE,5.113746840365546,-0.06805366517596732,-9.310344827586203,6171.6,315.6,-4.2,0
2001,EE,4.932613397115481,0.26925996476704717,9.125475285171092,6982.1,344.4,18.8,0
2002,EE,5.66013623177293,0.44601208961136884,28.600464576074323,7824.9,442.9,34.9,0
2003,EE,5.5986829318485825,1.8075388432208717,10.56671934974036,8746.7,489.7,158.1,0
2004,EE,5.158697697247331,2.4142091701092068,3.022258525627941,9779.6,504.5,236.1,0
2005,EE,4.733195832672273,1.1625857175595395,6.442021803766096,11345.4,537.0,131.9,0
2006,EE,4.7166057533600565,2.8472058476774342,19.199255121042835,13571.2,640.1,386.4,0
2007,EE,3.9080123398080744,2.689273390154979,0.14060303077643166,16402.2,641.0,441.1,0
2008,EE,4.672992797357225,-2.64337591537346,21.15444617784712,16618.9,776.6,-439.3,0
2009,EE,7.97594197771095,-2.7312931186980363,45.14550605202163,14132.5,1127.2,-386.0,2
2010,EE,7.990204723982147,-0.42125113622488436,4.4978708303761605,14741.8,1177.9,-62.1,0
2011,EE,7.596509356763568,0.6217932253806318,7.9718142456914665,16741.9,1271.8,104.1,0
2012,EE,11.146926453838754,-0.3925558148021187,58.52335272841642,18086.6,2016.1,-71.0,2
